source_folder,filename,size_MB,last_modified,sha256,used_in_paper
checkpoints,best_densenet121_v4_xrv.pth,27.1,2026-06-07 08:09,517fb6694fffc7a3c5842d4f0ecd3c62044e4fc17de11acda5d22865c410d3d7,"Table 4 -- DenseNet-121, TorchXRayVision"
checkpoints,best_resnet50_v5_xrv.pth,90.2,2026-06-08 08:43,84d2352d0a36fcdb86b1bad6e069a738d07581c3b307c72063aee049b897f179,"Table 4 -- ResNet-50, TorchXRayVision"
checkpoints,best_efficientnet_b7_asl.pth,245.1,2026-06-11 07:47,9b91f7dd1876823891bd61d84b91cb560a221d2a2d9ef97fcf84379263b462b8,"Table 4 -- EfficientNet-B7, ImageNet-22k"
checkpoints,best_convnext_base_22k.pth,334.2,2026-06-13 04:13,2b1642c5c8b720c49f251b1f012c23d58b10d0c96d7a4ea4ca05bd073a50d334,"Table 4 -- ConvNeXt, ImageNet-22k (pre-intervention / reference for ablation C0)"
checkpoints,best_swin_v2.pth,331.7,2026-06-19 16:10,17d5718956c8b7b13b77993756b015e4790ebd1b55d833b7fe4103d7fd971b4b,"Table 4 -- SwinV2, ImageNet-22k"
checkpoints,best_swin_biomedical_v2.pth,331.1,2026-06-21 08:45,9685f60e0e7e9cf37e068b661db5267779547c2759bd0cf8bc5cc3e21a44e805,"Table 4 -- SwinV2, radiology-pretrained"
checkpoints,best_debiased_convnext.pth,334.2,2026-07-04 18:53,e960e7028a583bbd50995398c0b611d3d2ad29c54f5e1b8ec9f267605e14e23f,"Table 4/7 -- ConvNeXt post-intervention (original single-instance reference, superseded by ablation C6 seeds)"
ablation_checkpoints,C0_baseline_seed42.pth,334.2,2026-08-13 02:30,8de88d01370267bf715a719cf27b16e5dfc719675366a702c28cf54fbdb8b98d,"Ablation -- C0 baseline, seed 42"
ablation_checkpoints,C0_baseline_seed123.pth,334.2,2026-08-13 09:57,8a59853cd99a79aa1bd45d287961dc083abcebeec22ceb0183cfebb92c754c10,"Ablation -- C0 baseline, seed 123"
ablation_checkpoints,C0_baseline_seed2026.pth,334.2,2026-08-13 17:24,9d013def008b4ddd0fb47bfd193c58b0e760b3512cd8368103aed36bc5213959,"Ablation -- C0 baseline, seed 2026"
