macro_auc,micro_auc,macro_prauc,precision,recall,f1,condition,seed,best_val_auc
0.8528999975671442,0.888226865677073,0.2838218056394727,0.2895879502692494,0.4453825352111899,0.3226264167698622,C0_baseline,42,0.850943334833936
0.8540966558019605,0.8847612338440152,0.2737311323369045,0.2568368363543475,0.4621776851690979,0.29855457602247,C0_baseline,123,0.8478747976252438
0.8539593636342974,0.8878257414384398,0.2754992334963891,0.2834488115171094,0.425466611016106,0.3223975141182514,C0_baseline,2026,0.8502128438190008
0.8520756964353294,0.8871315232442416,0.2681449047836322,0.2446813395896016,0.4208206918915125,0.2915616544361246,C1_crop_only,42,0.8495730801074467
0.8566191190685738,0.8866847393121235,0.2762331188616524,0.2571167253235896,0.4476826726771896,0.3023806243184406,C1_crop_only,123,0.8523487001539377
0.8548449250886355,0.8875501632728315,0.2767530742363334,0.2717900968983879,0.4259280688979038,0.3195170674372684,C1_crop_only,2026,0.8504217737718978
0.8528711137189786,0.8875663067177383,0.2852208229816791,0.374705984785883,0.118707361562315,0.1638894619101266,C2_bce_only,42,0.8491605972238858
0.8498136881103131,0.8844660261991711,0.2749423077107309,0.3882608122477546,0.1442581535964158,0.2002056703535241,C2_bce_only,123,0.8472033260045438
0.8534488935707928,0.8874449400034549,0.2759689843334399,0.4465820268196765,0.0919697158975441,0.1403763225277486,C2_bce_only,2026,0.8508211848345579
0.8528773773701268,0.8882142366697061,0.2842069289755182,0.2836247761060835,0.4438482866442805,0.321110190791233,C3_schedule_only,42,0.8509867131928025
0.8542362771831057,0.8845020604737185,0.2748475893651053,0.2619563963093635,0.4603018698999512,0.2998058256340555,C3_schedule_only,123,0.84784724881548
0.8533155003028746,0.8872992746490672,0.2778489119788562,0.2822012802529599,0.4264040424902303,0.3230582061596297,C3_schedule_only,2026,0.8499052237134805
0.8524257844922172,0.8885941880517713,0.2776311850503702,0.2807332480383443,0.4272092433427614,0.3166587220222848,C4_noaug_only,42,0.8499579113298471
0.8513189504908671,0.8831471954541387,0.2706772237050919,0.2516160412550949,0.4432119069830206,0.2960827547695204,C4_noaug_only,123,0.8480715317885091
0.8541892372217317,0.8886509429792541,0.2776400820113182,0.2733927079871343,0.4408932017738204,0.3257993983829119,C4_noaug_only,2026,0.8518507297325069
0.8534325204129812,0.887102714623851,0.2826719552398086,0.4742585241991827,0.1459046755571906,0.2082501349930111,C5_crop_bce,42,0.849822233082279
0.8541590125721302,0.8864279364860385,0.2706525261525386,0.4027962458801107,0.1267271354364364,0.1797395011876038,C5_crop_bce,123,0.8487915230818416
0.8540684752354712,0.890838719887441,0.2815201134037912,0.4344649015165482,0.1447268096908359,0.1963229853725974,C5_crop_bce,2026,0.852393851244086
0.8528768916666668,0.8877710773141959,0.2741847283631252,0.37754131223368803,0.11672900563316853,0.16383856572386388,C6_full_combined,42,0.8459214206822275
0.8538570574547969,0.8858643448614378,0.26609383202983344,0.3909831636832299,0.13087971210854657,0.18459810056480416,C6_full_combined,123,0.8479952395163366
0.8547874503326195,0.88870450918659,0.2739131975156535,0.47524511103205197,0.09975916232908058,0.1505851134934952,C6_full_combined,2026,0.85218763090503
