Image Index,frac_C0,frac_C6,diff,group
00018258_001.png,0.9781950116157532,0.4710771739482879,-0.5071178376674652,worst_for_C6
00029744_000.png,0.9735257029533386,0.4690718948841095,-0.5044538080692291,worst_for_C6
00011282_006.png,0.6068511605262756,0.1184465736150741,-0.48840458691120153,worst_for_C6
00011423_008.png,0.6785026788711548,0.1925768107175827,-0.4859258681535721,worst_for_C6
00009659_002.png,0.7973795533180237,0.7841110825538635,-0.013268470764160156,near_median
00016587_058.png,0.9990645051002502,0.9859814047813416,-0.013083100318908691,near_median
00014362_012.png,0.9403653144836426,0.9274650812149048,-0.012900233268737793,near_median
00016006_003.png,0.9897742867469788,0.976917803287506,-0.012856483459472767,near_median
00004188_008.png,0.1682105064392089,0.5678254961967468,0.39961498975753795,best_for_C6
00008053_002.png,0.2428885996341705,0.6460341811180115,0.40314558148384094,best_for_C6
00001855_008.png,0.2294477969408035,0.6911895871162415,0.4617417901754379,best_for_C6
00014839_029.png,0.1466011554002761,0.8206942677497864,0.6740931123495103,best_for_C6
